model,params,train_seconds,infer_seconds,accuracy,balanced_accuracy,precision,pd,f1,pfa,roc_auc,average_precision
CNR-SenseNet,14177,307.62983240000904,11.930121600045823,0.8622386363636364,0.8622386363636363,0.9599457478428997,0.7560227272727272,0.8458672905038587,0.03154545454545454,0.9277973948863636,0.9447487491339441
MLP,107009,62.8139824999962,3.08734500000719,0.850909090909091,0.8509090909090908,0.959031989535022,0.7331363636363636,0.8310062342212375,0.03131818181818182,0.90103992303719,0.9292210424379133
CNN1D,43745,428.8428138999734,15.283971600001678,0.8539772727272728,0.8539772727272728,0.9053034245862392,0.7906590909090909,0.8441063716212938,0.08270454545454546,0.9247451224173555,0.9424409387906554
LSTM,32385,590.114042900037,20.16670439997688,0.8588977272727273,0.8588977272727272,0.9463775899595782,0.7609090909090909,0.8435692958917571,0.04311363636363636,0.9217972595557851,0.9408847836804282
